MES;CONTADOR;CONTADOR_TIPO;CONTADOR_SENTIDO;ZONA;NUMERO
01/12/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;2069
01/12/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;437
01/12/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1170
01/12/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;1497
01/12/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;124
01/12/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;587
01/12/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Álava;Vías Verdes - Eurovelo;229
01/12/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Estella;Vías Verdes - Eurovelo;470
01/12/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;960
01/12/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;257
01/12/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;6301
01/12/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;145
01/12/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;316
01/12/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;41
01/12/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;460
01/12/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;39
01/12/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;116
01/12/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;719
01/12/2019;Urederra;Peatones;Ida;Recursos turístico ;6016
01/12/2019;Las Roscas;Peatones;Ida;Recursos turístico ;305
01/12/2019;Xorroxin;Peatones;Vuelta;Recursos turístico ;2544
01/12/2019;Amaiur;Peatones;Ida;Recursos turístico ;5552
