"MES";"CONTADOR";"CONTADOR_TIPO";"CONTADOR_SENTIDO";"ZONA";"NUMERO";"TRIMESTRE";"YEAR"
2019-07-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";1620;"2019-3";2019
2019-07-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";3259;"2019-3";2019
2019-07-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";749;"2019-3";2019
2019-07-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";8262;"2019-3";2019
2019-07-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Álava";"Vías Verdes - Eurovelo";399;"2019-3";2019
2019-07-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Álava";"Vías Verdes - Eurovelo";498;"2019-3";2019
2019-07-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Aragón";"Vías Verdes - Eurovelo";1351;"2019-3";2019
2019-07-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Aragón";"Vías Verdes - Eurovelo";326;"2019-3";2019
2019-07-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Liédena - Lumbier";"Vías Verdes - Eurovelo";11009;"2019-3";2019
2019-07-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Liédena - Lumbier";"Vías Verdes - Eurovelo";567;"2019-3";2019
2019-07-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";7522;"2019-3";2019
2019-07-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";430;"2019-3";2019
2019-07-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";7021;"2019-3";2019
2019-07-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";60;"2019-3";2019
